id,n_electrons,MW,specific_capacity_mAh_g,SA_score,dGsolv_neutral_eV
anthraquinone,2,342.4,156.6,1.94,-0.825
anthraquinone_parent,2,208.2,257.4,1.33,-0.535
cyanopyridinium,1,209.3,128.1,2.31,-0.8
methyl_viologen,2,186.3,287.8,2.82,-0.668
methylpyridinium,1,94.1,284.7,2.53,-0.33
phenothiazine,1,303.4,88.3,1.84,-0.678
phenothiazine_parent,1,199.3,134.5,1.94,-0.576
pyridinium,1,184.3,145.5,2.01,-0.573
tempo,2,276.4,193.9,2.48,-0.589
tempo_parent,2,156.2,343.1,2.87,-0.321
viologen,2,276.4,193.9,2.55,-0.913
