_id,smiles,source_group,groundState_charge,molecular_weight,sa_score,solv_oxidation_potential,solv_reduction_potential,hole_reorganization_energy,electron_reorganization_energy
80EOBW,CCOc1ccc([N+](=O)[O-])cc1,csd,0.0,167.058243148,1.46,2.089,7.051,0.5306,0.9934
80MWQC,O=C(CCc1ccccc1)NO,csd,0.0,165.078978592,1.52,2.172,,1.507,
80EFNS,COC(=O)Nc1ccc([N+](=O)[O-])cc1,csd,0.0,196.048406736,1.65,2.032,7.148,0.5707,0.5672
80XWQD,COc1ccc([N+](=O)[O-])c(C)c1,csd,0.0,167.058243148,1.65,1.988,6.95,0.6375,0.5475
80JLYV,CC(=NO)c1ccccc1,csd,0.0,135.068413908,1.69,2.03,,0.9102,
80MFGY,NC(=O)COc1ccc([N+](=O)[O-])cc1,csd,0.0,196.048406736,1.69,2.18,7.261,1.161,0.7465
80OAAH,O=C(O)COc1ccccc1[N+](=O)[O-],csd,0.0,197.032422324,1.71,2.154,7.13,0.4648,0.6697
80VIXH,COc1cc(OC)c([N+](=O)[O-])cc1OC,csd,0.0,213.063722452,1.74,1.231,6.825,0.6347,0.5807
80PGHL,CNc1ccccc1[N+](=O)[O-],csd,0.0,152.058577496,1.74,1.424,,0.2499,
81NELE,CONC(=O)c1ccccc1C(=O)c1ccccc1,Zinc,0.0,255.089543276,1.76,1.839,7.201,,2.261
80DHJC,CC(=O)OCC(=O)c1ccc([N+](=O)[O-])cc1,csd,0.0,223.048072388,1.77,2.571,7.693,1.337,0.6174
80POQQ,CCCCCCCCCCCCOc1ccc([N+](=O)[O-])cc1,csd,0.0,307.214743788,1.77,2.076,,0.4772,
80ZNRU,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2cc3cccccc-3c2)cc1,csd,0.0,328.051777864,1.79,1.16,,0.8403,
80AWFI,CNc1cccc([N+](=O)[O-])c1,csd,0.0,152.058577496,1.81,1.337,7.126,0.2272,0.7618
80JRYS,O=C(NO)c1ccc(Cl)cc1Cl,csd,0.0,204.96973376,1.82,2.832,,0.586,0.8472
90JJCA,ON=Cc1ccccc1,Risko_benchmark,0.0,121.052763844,1.82,1.933,6.382,0.7153,1.452
81XEUM,O=C(NOCc1ccccc1)Oc1ccccc1,Zinc,0.0,243.089543276,1.82,2.472,7.249,1.416,3.847
80NCAA,COC(=O)c1ccc(O)c([N+](=O)[O-])c1,csd,0.0,197.032422324,1.82,2.382,,0.5267,
80WXEG,COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],csd,0.0,198.027671292,1.83,2.495,7.412,0.5389,0.4735
80FIBH,CCN(CC)c1ccc([N+](=O)[O-])cc1,csd,0.0,194.105527688,1.83,1.189,,0.1432,
80OJTO,CC(=O)c1cc([N+](=O)[O-])ccc1F,csd,0.0,183.033171272,1.88,3.389,7.556,0.8556,0.7901
80SHNA,CONC(=O)c1ccc([N+](=O)[O-])cc1,csd,0.0,196.048406736,1.89,1.977,7.458,1.678,0.737
80JZBZ,O=C(NO)c1cccnc1,csd,0.0,138.042927432,1.9,2.307,6.731,1.475,1.793
80TSAO,Cc1cc(O)ccc1[N+](=O)[O-],csd,0.0,153.042593084,1.9,2.073,6.941,0.6806,0.5504
80FEMN,CC(=O)c1cc([N+](=O)[O-])ccc1O,csd,0.0,181.037507704,1.9,3.082,,0.5854,
80TZDA,CC(=O)N(O)CCc1ccccc1,csd,0.0,179.094628656,1.9,1.675,,0.879,
80RYFR,O=[N+]([O-])c1cccc(Cl)c1Cl,csd,0.0,190.954083696,1.91,2.959,7.531,0.4415,0.936
80JPTD,NC(=O)c1cc([N+](=O)[O-])ccc1O,csd,0.0,182.032756672,1.91,2.139,7.54,0.6648,1.076
80YULX,O=C(NO)c1ccncc1,csd,0.0,138.042927432,1.92,2.112,6.884,1.338,1.768
81KKZW,C/C(=N/O)c1cccc(NC(=O)c2ccc(C)cc2F)c1,Zinc,0.0,286.11175594,1.93,1.594,6.447,0.4389,0.4588
80QOQQ,COc1ccc(NS(C)(=O)=O)c([N+](=O)[O-])c1,csd,0.0,246.03104242,1.94,1.411,,0.8322,
80PJBR,Nc1cc([N+](=O)[O-])ccc1C(=O)O,csd,0.0,182.032756672,1.94,1.676,7.39,0.3781,2.506
80ADNV,COC(=O)c1cccc([N+](=O)[O-])c1O,csd,0.0,197.032422324,1.94,2.436,,0.5218,
