_id,smiles,source_group,groundState_charge,molecular_weight,sa_score,solv_oxidation_potential,solv_reduction_potential,hole_reorganization_energy,electron_reorganization_energy
05STTW,c1ccc(N2c3ccccc3Sc3ccccc32)cc1,Odom_aman,0.0,275.076870416,1.82,0.597,,0.4822,
05MEGG,CN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,213.061220352,1.87,0.688,5.628,0.5229,1.231
05DXWO,CCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,241.09252048,1.89,0.593,5.699,0.4026,1.48
05NLZW,CCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,227.076870416,1.9,,,,
05EEZH,COCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,257.0874351,1.95,0.633,5.612,0.5443,1.44
05WEXS,CC(C)N1c2ccccc2Sc2ccccc21,Odom_aman,0.0,241.09252048,2.1,0.593,5.682,0.4317,1.796
05MYHH,COCCOCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,301.113649848,2.1,0.631,5.605,0.5247,1.945
05FYOH,CCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,Odom_aman,0.0,287.097999784,2.13,0.317,5.66,0.4399,1.977
05PESY,CCN1c2ccc(C)cc2Sc2cc(C)ccc21,Odom_aman,0.0,255.108170544,2.16,0.377,5.661,0.379,1.462
05TRCY,CCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,Odom_aman,0.0,295.064255044,2.19,0.762,6.142,0.6309,1.972
05KFIE,CCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,Odom_aman,0.0,294.998925712,2.2,0.728,6.024,0.3958,1.32
05RYQW,CC(C)(C)N1c2ccccc2Sc2ccccc21,Odom_aman,0.0,255.108170544,2.26,0.87,5.454,0.5057,3.132
05XIVB,COCCOCCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,Odom_aman,0.0,361.134779216,2.31,0.353,5.697,0.5294,2.029
05MJZZ,CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,Odom_aman,0.0,382.8978945520001,2.36,0.746,6.021,0.3828,1.353
05PTMH,CCN1c2c(C)cccc2Sc2cccc(C)c21,Odom_aman,0.0,255.108170544,2.37,0.905,5.506,0.5362,4.46
05BCMO,CCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,Odom_aman,0.0,363.051639672,2.47,0.901,6.206,0.4841,2.112
05KCEN,CCN1c2ccc(C#N)cc2Sc2cc(C#N)ccc21,Odom_aman,0.0,277.067368352,2.57,1.038,6.647,0.3681,1.477
05JHCB,CCN1c2ccc(OCCOCCOC)cc2Sc2cc(OCCOCCOC)ccc21,Odom_aman,0.0,463.2028587759999,2.59,0.289,5.637,0.5915,3.885
05PJTD,COCCOCCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,Odom_aman,0.0,437.088419104,2.6,0.765,6.277,0.4726,2.59
05DLTF,COCCOC(C)CN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,315.129299912,2.75,0.724,5.557,0.5621,3.533
05PNOK,CCN1c2c(C)cc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)cc(C)c21,Odom_aman,0.0,391.0829398,2.88,1.151,5.436,0.5276,6.777
05UYEV,CCN1c2ccc(C(F)(F)C(F)(F)F)cc2Sc2cc(C(F)(F)C(F)(F)F)ccc21,Odom_aman,0.0,463.045252552,3.01,0.924,6.263,0.4543,1.93
05HONX,CC[N+](C)(C)C(C)CN1c2ccccc2Sc2ccccc21,Odom_aman,1.0,313.17329622009004,3.1,1.077,,0.752,
