_id,smiles,source_group,groundState_charge,molecular_weight,sa_score,solv_oxidation_potential,solv_reduction_potential,hole_reorganization_energy,electron_reorganization_energy
80UOQH,Cc1cc([N+](=O)[O-])cc[n+]1[O-],csd,0.0,154.037842052,2.94,2.072,7.5,0.2498,0.4975
10VRYW,c1cncc(-c2ccc(-c3ccc(-c4ccc[nH+]c4)s3)s2)c1,Other,1.0,321.05146683609007,3.28,,,,
10LYCW,c1c[nH+]cc(-c2ccc(-c3ccc(-c4ccncc4)s3)s2)c1,Other,1.0,321.05146683609007,3.28,,,0.3818,
10ZMEC,c1cc(-c2ccc(-c3ccc(-c4cc[nH+]cc4)s3)s2)ccn1,Other,1.0,321.05146683609,3.31,,,,
10IYDE,c1cncc(-c2ccc(-c3ccc(-c4cc[nH+]cc4)s3)s2)c1,Other,1.0,321.05146683609007,3.31,,,,
80HIYK,CCOC(=O)C1=C([O-])C(=O)C(C(=O)OCC)=C([n+]2ccc(N(C)C)cc2)C1=O,csd,0.0,388.12705098,3.36,1.333,7.983,1.417,0.6965
80TCIG,O=C(O)C[n+]1ccccc1C(=O)[O-],csd,0.0,181.037507704,3.42,2.11,,1.783,
80ESAD,[O-][n+]1ccccc1I,csd,0.0,220.933761748,3.43,2.216,7.209,0.5713,2.858
02JXLM,NOc1cc(-c2cc(O)c(O)cc2-c2ccc(O)c(O)c2)c(-c2ccc(O)c(O)[nH+]2)cc1O,Ganapathysubramanian,1.0,451.11359198809,3.59,1.171,7.225,0.5127,0.7895
80JTHN,COCCOC1=C([n+]2ccccc2)[C]([O-])C(C#N)=C(C#N)C1=O,csd,0.0,310.082780864,3.6,0.791,8.124,0.6344,0.5118
80TYAG,CCCOC1=C([n+]2ccccc2)[C]([O-])C(C#N)=C(C#N)C1=O,csd,0.0,294.08786624399994,3.62,0.749,8.05,0.5954,0.6039
80URST,CC1=C(C)C(C)([B-](Cl)(Cl)[n+]2ccccc2)C(C)=C1C,csd,0.0,295.1065854,4.03,0.509,6.916,0.554,0.7703
80VCSQ,CCC[n+]1cc([O-])ccc1C=O,csd,0.0,165.078978592,4.12,1.477,,0.2081,
02RXBS,NCc1cc(-c2cc(O)c(O)cc2C2=CC=C(O)C(O)(O)N2)c(-c2ccc(O)c(O)[nH+]2)cc1O,Ganapathysubramanian,1.0,468.1401410840899,4.18,0.634,7.284,1.435,1.097
10NUOE,c1c[nH+]cc(-c2ccc(-c3ccc(-c4cc[nH+]cc4)s3)s2)c1,Other,2.0,322.05874328818,4.26,,,,
02LJHP,NOc1cc(-c2cc(O)c(O)cc2C2=CC=C(O)C(O)(O)N2)c(-c2ccc(O)c(O)[nH+]2)cc1O,Ganapathysubramanian,1.0,470.11940564009,4.26,0.555,7.33,1.719,1.498
80FQFS,Cc1cc[n+](O)c([N-][N+](=O)[O-])c1,csd,0.0,169.048741084,4.4,1.929,,0.7357,
80HYQS,F[B-]1(F)N2C(Br)=CC=CC2=Nc2cccc[n+]21,csd,0.0,296.9884461640001,4.41,1.389,6.896,0.2533,0.4316
02MJSC,NOc1cc(-c2cc(O)c(O)cc2C2=CC=C(O)C(O)N2)c(-c2ccc(O)c(O)[nH+]2)cc1O,Ganapathysubramanian,1.0,454.12449102009,4.61,0.566,7.103,0.934,0.8817
80XLKT,O=C1C(=NO)C=C(S(=O)(=O)[O-])c2ccc[nH+]c21,csd,0.0,253.999742292,4.66,2.412,8.556,1.193,3.003
80NWCD,CSC1=NS(=O)(=O)c2c[n+](C)ccc2[N-]1,csd,0.0,243.013618528,4.73,2.098,7.205,0.5119,1.765
80ADGP,[O-]c1[nH+]cccc1O,csd,0.0,111.0320284,5.05,1.186,6.111,0.4131,0.8639
80WCXN,CCC(C)C=C(C)C=Cc1cc2c(c[nH+]1)C(=O)C(C)(OC(C)=O)C([O-])=C2Cl,csd,0.0,389.1393859279999,5.14,0.994,7.58,0.5615,3.093
