_id,smiles,source_group,groundState_charge,molecular_weight,sa_score,solv_oxidation_potential,solv_reduction_potential,hole_reorganization_energy,electron_reorganization_energy
11ZHCX,O=C1c2ccccc2C(=O)c2ccccc21,,0.0,208.052429496,1.33,2.607,7.832,0.04998,0.3035
81KOQF,NNC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,Zinc,0.0,266.06914218000003,1.93,1.951,8.692,,1.351
81WNEA,O=C1c2ccccc2C(=O)c2c1cc(F)c1ccccc21,Zinc,0.0,276.05865774800003,1.96,1.972,,0.2683,
80VGOG,O=C1C=CC(=O)C(c2ccccc2)=C1,csd,0.0,184.052429496,2.06,2.584,8.308,-0.1877,1.059
80LERT,COc1ccc(C2=CC(=O)C=CC2=O)cc1,csd,0.0,214.06299418,2.07,1.723,8.27,0.4555,0.8716
80LLDF,O=C1C=CC(=O)C(c2ccc(Cl)cc2)=C1,csd,0.0,218.013457144,2.13,2.188,8.346,0.3564,0.4841
80HCEP,O=C1C=CC(=O)C(c2ccccc2Cl)=C1,csd,0.0,218.013457144,2.2,2.564,8.323,0.5207,0.5481
80VVIL,O=C1C=CC(=O)C(c2cccc(Cl)c2)=C1,csd,0.0,218.013457144,2.23,2.518,8.369,0.6062,0.583
06OSYU,CC1=C(C)C(=O)C(C)=C(C)C1=O,Risko,0.0,164.083729624,2.25,2.606,7.953,0.7766,0.5725
80JNVB,O=C1C=CC(=O)C(c2ccc(Cl)c(Cl)c2)=C1,csd,0.0,251.974484792,2.3,2.436,8.384,0.4336,0.5811
05TPTO,COC1=CC(=O)C(c2cc(OC)ccc2OC)=CC1=O,csd,0.0,274.084123548,2.33,1.206,8.231,0.5714,0.4587
80ZKXL,O=C1C=CC(=O)C(c2cc(Cl)ccc2Cl)=C1,csd,0.0,251.974484792,2.33,2.454,8.394,0.4359,0.4904
80IDPH,O=C1C=CC(=O)C(C=Cc2ccccc2)=C1,csd,0.0,210.06807956,2.37,1.688,8.347,0.3009,1.013
80TVTO,COc1ccc(C2=CC(=O)C=CC2=O)c(OC)c1OC,csd,0.0,274.08412354800004,2.38,1.241,8.173,1.185,0.675
80DXOA,COC1=CC(=O)C(c2ccc(N(C)C)cc2)=CC1=O,csd,0.0,257.10519334,2.39,0.861,7.893,0.1795,1.914
05DZXH,O=C1C=CC(=O)C(c2ccc(I)cc2)=C1,csd,0.0,309.949077464,2.4,2.236,8.354,0.3089,0.5438
80WNPY,COc1cc(OC)c(C2=CC(=O)C=C(C)C2=O)cc1OC,csd,0.0,288.099773612,2.41,0.893,8.092,0.5402,2.151
80VSVD,O=C1C=CC(=O)C(C=Cc2ccc(Cl)cc2)=C1,csd,0.0,244.029107208,2.42,1.698,8.336,0.3142,0.3528
80DHDO,O=C1C=CC(=O)C(c2cc(Cl)cc(Cl)c2)=C1,csd,0.0,251.974484792,2.43,2.636,8.414,0.6324,1.006
80XDKB,O=C1C=C(Cl)C(=O)C(c2ccc(Cl)cc2)=C1Cl,csd,0.0,285.93551244,2.43,2.471,8.617,0.4697,0.5555
80HHOW,O=C1C=C(N2CC2)C(=O)C(c2ccccc2)=C1N1CC1,csd,0.0,266.105527688,2.46,1.212,7.838,0.7658,0.6736
