smiles,source_group,groundState_charge,molecular_weight,sa_score,reorg_eV,reorg_type,reorg_confidence,pareto_optimal,oxidation_potential_D3TaLES_abs_V,solv_oxidation_potential_D3TaLES_abs_V,reduction_potential_D3TaLES_abs_V,solv_reduction_potential_D3TaLES_abs_V,E_ox_vs_Fc_est_V,E_red_vs_Fc_est_V,family
O=C1C=CC(=O)C(C=Cc2ccc(Cl)cc2)=C1,csd,0.0,244.029107208,2.42,0.3528,electron,low,True,1.698,1.698,8.336,8.336,1.078,-0.774,quinone
O=C1C(Cl)=C(Cl)C(=O)C(NC2=C(Cl)C(=O)c3ccccc3C2=O)=C1Cl,csd,0.0,414.89726836,2.86,0.4204,electron,low,False,1.893,1.893,8.69,8.69,1.273,-0.42,quinone
Cc1cccc(C=CC2=CC(=O)C=CC2=O)c1,csd,0.0,224.083729624,2.49,0.4338,electron,low,False,1.791,1.791,8.301,8.301,1.171,-0.809,quinone
CN(C)c1ccc(C(Cl)=CC2=C(Cl)C(=O)C(Cl)=C(Cl)C2=O)cc1,csd,0.0,388.954389312,2.96,0.4536,electron,low,False,0.918,0.918,8.589,8.589,0.298,-0.521,quinone
O=C1C=CC(=O)C(c2ccc(Cl)cc2)=C1,csd,0.0,218.013457144,2.13,0.4841,electron,low,True,2.188,2.188,8.346,8.346,1.568,-0.764,quinone
O=C1C=CC(=O)C(c2cc(Cl)ccc2Cl)=C1,csd,0.0,251.974484792,2.33,0.4904,electron,low,False,2.454,2.454,8.394,8.394,1.834,-0.716,quinone
O=C1C=CC(=O)C(c2ccc(I)cc2)=C1,csd,0.0,309.949077464,2.4,0.5438,electron,low,False,2.236,2.236,8.354,8.354,1.616,-0.756,quinone
O=C1C=CC(=O)C(c2ccccc2Cl)=C1,csd,0.0,218.013457144,2.2,0.5481,electron,low,False,2.564,2.564,8.323,8.323,1.944,-0.787,quinone
O=C1C=CC(=O)C2=C1CC(Br)=CC2c1ccccc1,csd,0.0,313.994241692,3.45,0.5524,electron,low,False,2.054,2.054,8.264,8.264,1.434,-0.846,quinone
O=C1C=C(Cl)C(=O)C(c2ccc(Cl)cc2)=C1Cl,csd,0.0,285.93551244,2.43,0.5555,electron,low,False,2.471,2.471,8.617,8.617,1.851,-0.493,quinone
CC1=C(C)C(=O)C(C)=C(C)C1=O,Risko,0.0,164.083729624,2.25,0.5725,electron,low,False,2.606,2.606,7.953,7.953,1.986,-1.157,quinone
O=C1C=CC(=O)C(c2ccc(Cl)c(Cl)c2)=C1,csd,0.0,251.974484792,2.3,0.5811,electron,low,False,2.436,2.436,8.384,8.384,1.816,-0.726,quinone
COc1cc(C2=CC(=O)C(F)=CC2=O)c(OC)cc1F,csd,0.0,280.05471524,2.64,0.5828,electron,low,False,1.207,1.207,8.264,8.264,0.587,-0.846,quinone
O=C1C=CC(=O)C(c2cccc(Cl)c2)=C1,csd,0.0,218.013457144,2.23,0.583,electron,low,False,2.518,2.518,8.369,8.369,1.898,-0.741,quinone
CC1=C(C)N([O])c2ccccc2N1[O],csd,0.0,190.07422756,3.25,0.2374,hole,ok,True,1.094,1.094,7.051,7.051,0.474,-2.059,nitroxide
[O]N1N=C(C2CC2)N([O])c2ccccc21,csd,0.0,203.069476528,3.36,0.2944,hole,ok,False,1.32,1.32,7.455,7.455,0.7,-1.655,nitroxide
[O]N1C=CN([O])c2ccccc21,csd,0.0,162.042927432,3.47,0.3134,hole,ok,False,1.234,1.234,7.35,7.35,0.614,-1.76,nitroxide
CC1=C(C(=O)OC(C)(C)C)N([O])c2ccccc2N1[O],csd,0.0,276.111006992,3.09,0.3346,hole,ok,True,1.263,1.263,7.274,7.274,0.643,-1.836,nitroxide
CC(=O)OCC1=C(COC(C)=O)N([O])c2ccccc2N1[O],csd,0.0,306.085186168,3.28,0.3676,hole,ok,False,1.339,1.339,7.348,7.348,0.719,-1.762,nitroxide
CCN1c2ccc(C#N)cc2Sc2cc(C#N)ccc21,Odom_aman,0.0,277.067368352,2.57,0.3681,hole,ok,True,1.038,1.038,6.647,6.647,0.418,-2.463,phenothiazine
CCN1c2ccc(C)cc2Sc2cc(C)ccc21,Odom_aman,0.0,255.108170544,2.16,0.379,hole,ok,True,0.377,0.377,5.661,5.661,-0.243,-3.449,phenothiazine
CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,Odom_aman,0.0,382.8978945520001,2.36,0.3828,hole,ok,False,0.746,0.746,6.021,6.021,0.126,-3.089,phenothiazine
CCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,Odom_aman,0.0,294.998925712,2.2,0.3958,hole,ok,False,0.728,0.728,6.024,6.024,0.108,-3.086,phenothiazine
CCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,241.09252048,1.89,0.4026,hole,ok,True,0.593,0.593,5.699,5.699,-0.027,-3.411,phenothiazine
CC(C)N1c2ccccc2Sc2ccccc21,Odom_aman,0.0,241.09252048,2.1,0.4317,hole,ok,False,0.593,0.593,5.682,5.682,-0.027,-3.428,phenothiazine
CCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,Odom_aman,0.0,287.097999784,2.13,0.4399,hole,ok,False,0.317,0.317,5.66,5.66,-0.303,-3.45,phenothiazine
CCN1c2ccc(C(F)(F)C(F)(F)F)cc2Sc2cc(C(F)(F)C(F)(F)F)ccc21,Odom_aman,0.0,463.045252552,3.01,0.4543,hole,ok,False,0.924,0.924,6.263,6.263,0.304,-2.847,phenothiazine
COCCOCCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,Odom_aman,0.0,437.088419104,2.6,0.4726,hole,ok,False,0.765,0.765,6.277,6.277,0.145,-2.833,phenothiazine
c1ccc(N2c3ccccc3Sc3ccccc32)cc1,Odom_aman,0.0,275.076870416,1.82,0.4822,hole,ok,True,0.597,0.597,,,-0.023,,phenothiazine
CCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,Odom_aman,0.0,363.051639672,2.47,0.4841,hole,ok,False,0.901,0.901,6.206,6.206,0.281,-2.904,phenothiazine
CC(C)(C)N1c2ccccc2Sc2ccccc21,Odom_aman,0.0,255.108170544,2.26,0.5057,hole,ok,False,0.87,0.87,5.454,5.454,0.25,-3.656,phenothiazine
CN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,213.061220352,1.87,0.5229,hole,ok,False,0.688,0.688,5.628,5.628,0.068,-3.482,phenothiazine
COCCOCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,301.113649848,2.1,0.5247,hole,ok,False,0.631,0.631,5.605,5.605,0.011,-3.505,phenothiazine
CCN1c2c(C)cc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)cc(C)c21,Odom_aman,0.0,391.0829398,2.88,0.5276,hole,ok,False,1.151,1.151,5.436,5.436,0.531,-3.674,phenothiazine
