smiles,source_group,groundState_charge,molecular_weight,sa_score,reorg_eV,reorg_type,reorg_confidence,pareto_optimal,oxidation_potential_D3TaLES_abs_V,solv_oxidation_potential_D3TaLES_abs_V,reduction_potential_D3TaLES_abs_V,solv_reduction_potential_D3TaLES_abs_V,E_ox_vs_Fc_est_V,E_red_vs_Fc_est_V
CCN1c2ccc(C#N)cc2Sc2cc(C#N)ccc21,Odom_aman,0.0,277.067368352,2.57,0.3681,hole,ok,True,1.038,1.038,6.647,6.647,0.418,-2.463
CCN1c2ccc(C)cc2Sc2cc(C)ccc21,Odom_aman,0.0,255.108170544,2.16,0.379,hole,ok,True,0.377,0.377,5.661,5.661,-0.243,-3.449
CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,Odom_aman,0.0,382.8978945520001,2.36,0.3828,hole,ok,False,0.746,0.746,6.021,6.021,0.126,-3.089
CCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,Odom_aman,0.0,294.998925712,2.2,0.3958,hole,ok,False,0.728,0.728,6.024,6.024,0.108,-3.086
CCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,241.09252048,1.89,0.4026,hole,ok,True,0.593,0.593,5.699,5.699,-0.027,-3.411
CC(C)N1c2ccccc2Sc2ccccc21,Odom_aman,0.0,241.09252048,2.1,0.4317,hole,ok,False,0.593,0.593,5.682,5.682,-0.027,-3.428
CCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,Odom_aman,0.0,287.097999784,2.13,0.4399,hole,ok,False,0.317,0.317,5.66,5.66,-0.303,-3.45
CCN1c2ccc(C(F)(F)C(F)(F)F)cc2Sc2cc(C(F)(F)C(F)(F)F)ccc21,Odom_aman,0.0,463.045252552,3.01,0.4543,hole,ok,False,0.924,0.924,6.263,6.263,0.304,-2.847
COCCOCCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,Odom_aman,0.0,437.088419104,2.6,0.4726,hole,ok,False,0.765,0.765,6.277,6.277,0.145,-2.833
c1ccc(N2c3ccccc3Sc3ccccc32)cc1,Odom_aman,0.0,275.076870416,1.82,0.4822,hole,ok,True,0.597,0.597,,,-0.023,
CCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,Odom_aman,0.0,363.051639672,2.47,0.4841,hole,ok,False,0.901,0.901,6.206,6.206,0.281,-2.904
CC(C)(C)N1c2ccccc2Sc2ccccc21,Odom_aman,0.0,255.108170544,2.26,0.5057,hole,ok,False,0.87,0.87,5.454,5.454,0.25,-3.656
CN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,213.061220352,1.87,0.5229,hole,ok,False,0.688,0.688,5.628,5.628,0.068,-3.482
COCCOCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,301.113649848,2.1,0.5247,hole,ok,False,0.631,0.631,5.605,5.605,0.011,-3.505
CCN1c2c(C)cc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)cc(C)c21,Odom_aman,0.0,391.0829398,2.88,0.5276,hole,ok,False,1.151,1.151,5.436,5.436,0.531,-3.674
COCCOCCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,Odom_aman,0.0,361.134779216,2.31,0.5294,hole,ok,False,0.353,0.353,5.697,5.697,-0.267,-3.413
CCN1c2c(C)cccc2Sc2cccc(C)c21,Odom_aman,0.0,255.108170544,2.37,0.5362,hole,ok,False,0.905,0.905,5.506,5.506,0.285,-3.604
COCCN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,257.0874351,1.95,0.5443,hole,ok,False,0.633,0.633,5.612,5.612,0.013,-3.498
COCCOC(C)CN1c2ccccc2Sc2ccccc21,Odom_aman,0.0,315.129299912,2.75,0.5621,hole,ok,False,0.724,0.724,5.557,5.557,0.104,-3.553
CCN1c2ccc(OCCOCCOC)cc2Sc2cc(OCCOCCOC)ccc21,Odom_aman,0.0,463.2028587759999,2.59,0.5915,hole,ok,False,0.289,0.289,5.637,5.637,-0.331,-3.473
