smiles,source_group,groundState_charge,molecular_weight,sa_score,reorg_eV,reorg_type,reorg_confidence,pareto_optimal,oxidation_potential_D3TaLES_abs_V,solv_oxidation_potential_D3TaLES_abs_V,reduction_potential_D3TaLES_abs_V,solv_reduction_potential_D3TaLES_abs_V,E_ox_vs_Fc_est_V,E_red_vs_Fc_est_V
O=C1C=CC(=O)C(C=Cc2ccc(Cl)cc2)=C1,csd,0.0,244.029107208,2.42,0.3528,electron,low,True,1.698,1.698,8.336,8.336,1.078,-0.774
O=C1C(Cl)=C(Cl)C(=O)C(NC2=C(Cl)C(=O)c3ccccc3C2=O)=C1Cl,csd,0.0,414.89726836,2.86,0.4204,electron,low,False,1.893,1.893,8.69,8.69,1.273,-0.42
Cc1cccc(C=CC2=CC(=O)C=CC2=O)c1,csd,0.0,224.083729624,2.49,0.4338,electron,low,False,1.791,1.791,8.301,8.301,1.171,-0.809
CN(C)c1ccc(C(Cl)=CC2=C(Cl)C(=O)C(Cl)=C(Cl)C2=O)cc1,csd,0.0,388.954389312,2.96,0.4536,electron,low,False,0.918,0.918,8.589,8.589,0.298,-0.521
O=C1C=CC(=O)C(c2ccc(Cl)cc2)=C1,csd,0.0,218.013457144,2.13,0.4841,electron,low,True,2.188,2.188,8.346,8.346,1.568,-0.764
O=C1C=CC(=O)C(c2cc(Cl)ccc2Cl)=C1,csd,0.0,251.974484792,2.33,0.4904,electron,low,False,2.454,2.454,8.394,8.394,1.834,-0.716
O=C1C=CC(=O)C(c2ccc(I)cc2)=C1,csd,0.0,309.949077464,2.4,0.5438,electron,low,False,2.236,2.236,8.354,8.354,1.616,-0.756
O=C1C=CC(=O)C(c2ccccc2Cl)=C1,csd,0.0,218.013457144,2.2,0.5481,electron,low,False,2.564,2.564,8.323,8.323,1.944,-0.787
O=C1C=CC(=O)C2=C1CC(Br)=CC2c1ccccc1,csd,0.0,313.994241692,3.45,0.5524,electron,low,False,2.054,2.054,8.264,8.264,1.434,-0.846
O=C1C=C(Cl)C(=O)C(c2ccc(Cl)cc2)=C1Cl,csd,0.0,285.93551244,2.43,0.5555,electron,low,False,2.471,2.471,8.617,8.617,1.851,-0.493
CC1=C(C)C(=O)C(C)=C(C)C1=O,Risko,0.0,164.083729624,2.25,0.5725,electron,low,False,2.606,2.606,7.953,7.953,1.986,-1.157
O=C1C=CC(=O)C(c2ccc(Cl)c(Cl)c2)=C1,csd,0.0,251.974484792,2.3,0.5811,electron,low,False,2.436,2.436,8.384,8.384,1.816,-0.726
COc1cc(C2=CC(=O)C(F)=CC2=O)c(OC)cc1F,csd,0.0,280.05471524,2.64,0.5828,electron,low,False,1.207,1.207,8.264,8.264,0.587,-0.846
O=C1C=CC(=O)C(c2cccc(Cl)c2)=C1,csd,0.0,218.013457144,2.23,0.583,electron,low,False,2.518,2.518,8.369,8.369,1.898,-0.741
