pool,id,family,E_V,n,capacity,lambda_eV,dG_disp_kJmol,SA,dGsolv,pareto_optimal,fom
anolyte,tempo_parent,validation,-1.911,2,343.2,1.138,220.7,2.87,-0.321,True,0.807
anolyte,methylpyridinium,validation,-1.67,1,284.8,0.379,,2.53,-0.33,False,0.742
anolyte,anthraquinone_parent,validation,-1.607,2,257.5,0.352,86.0,1.33,-0.535,False,0.632
anolyte,pyridinium,pyridine,-1.656,1,145.4,0.415,,2.01,-0.573,False,0.534
anolyte,tempo,nitroxide,-1.671,2,193.9,1.166,204.3,2.48,-0.589,False,0.502
anolyte,methyl_viologen,validation,-1.038,2,287.7,0.457,54.2,2.82,-0.668,True,0.445
anolyte,anthraquinone,quinone (n-type),-1.478,2,156.6,0.399,73.4,1.94,-0.825,False,0.428
anolyte,viologen,pyridine-multi-e,-1.035,2,193.9,0.471,52.0,2.55,-0.913,False,0.308
anolyte,cyanopyridinium,pyridine,-0.88,1,128.1,0.359,,2.31,-0.8,False,0.298
catholyte,phenothiazine,amine (p-type),0.542,1,88.3,0.429,,1.84,-0.678,False,0.6
catholyte,tempo_parent,validation,0.376,2,343.2,1.138,220.7,2.87,-0.321,True,0.508
catholyte,phenothiazine_parent,validation,0.456,1,134.5,0.517,,1.94,-0.576,True,0.475
catholyte,tempo,nitroxide,0.447,2,193.9,1.166,204.3,2.48,-0.589,False,0.253
