id,name,family,event,q_ox,q_red,dG_smd_eV,g_thermal_ox_eV,g_thermal_red_eV,E_abs_V,E_vs_Fc_V,dG_gas_uma_eV,E_vs_Fc_gas_V,ref
pyridinium,N-benzylpyridinium,pyridine,ox->red,1,0,-2.779,5.2188,5.1268,2.779,-1.656,-4.7178,0.283,Fc-level-matched(computed)
cyanopyridinium,N-benzyl-4-cyanopyridinium,pyridine,ox->red,1,0,-3.5545,5.1255,5.0684,3.554,-0.88,-5.614,1.179,Fc-level-matched(computed)
viologen,"N-benzyl-N'-methyl-4,4'-bipyridinium (viologen)",pyridine-multi-e,ox2->ox1,2,1,-3.6692,7.8717,7.8593,3.669,-0.766,-8.5907,4.156,Fc-level-matched(computed)
viologen,"N-benzyl-N'-methyl-4,4'-bipyridinium (viologen)",pyridine-multi-e,ox1->neu,1,0,-3.1299,7.8593,7.7945,3.13,-1.305,-4.6585,0.224,Fc-level-matched(computed)
phenothiazine,N-benzylphenothiazine,amine (p-type),ox->neu,1,0,-4.9767,7.0407,7.0457,4.977,0.542,-6.634,2.199,Fc-level-matched(computed)
tempo,4-(benzyloxy)-TEMPO,nitroxide,ox->rad,1,0,-4.8815,9.445,9.4339,4.882,0.447,-6.7991,2.364,Fc-level-matched(computed)
tempo,4-(benzyloxy)-TEMPO,nitroxide,rad->red,0,-1,-2.7637,9.4339,9.1688,2.764,-1.671,-0.4183,-4.016,Fc-level-matched(computed)
anthraquinone,2-(benzyloxymethyl)anthraquinone,quinone (n-type),neu->red1,0,-1,-3.3366,7.8055,7.7497,3.337,-1.098,-1.5199,-2.915,Fc-level-matched(computed)
anthraquinone,2-(benzyloxymethyl)anthraquinone,quinone (n-type),red1->red2,-1,-2,-2.5756,7.7497,7.4868,2.576,-1.859,2.5076,-6.942,Fc-level-matched(computed)
ferrocene,ferrocene (internal reference),validation,ox->neu,1,0,-4.3555,3.4275,3.5068,4.355,-0.079,-6.4456,2.011,Fc-level-matched(computed)
methyl_viologen,"methyl viologen (N,N'-dimethyl-4,4'-bipyridinium)",validation,ox2->ox1,2,1,-3.6797,5.2285,5.1901,3.68,-0.755,-8.8505,4.416,Fc-level-matched(computed)
methyl_viologen,"methyl viologen (N,N'-dimethyl-4,4'-bipyridinium)",validation,ox1->neu,1,0,-3.0972,5.1901,5.1314,3.097,-1.338,-4.7218,0.287,Fc-level-matched(computed)
tempo_parent,"TEMPO (2,2,6,6-tetramethylpiperidine-1-oxyl)",validation,ox->rad,1,0,-4.8106,6.017,6.0079,4.811,0.376,-6.8702,2.435,Fc-level-matched(computed)
tempo_parent,"TEMPO (2,2,6,6-tetramethylpiperidine-1-oxyl)",validation,rad->red,0,-1,-2.5233,6.0079,5.9317,2.523,-1.911,-0.2685,-4.166,Fc-level-matched(computed)
phenothiazine_parent,10H-phenothiazine,validation,ox->neu,1,0,-4.8909,3.6766,3.6559,4.891,0.456,-6.6494,2.215,Fc-level-matched(computed)
anthraquinone_parent,"9,10-anthraquinone",validation,neu->red1,0,-1,-3.2739,3.695,3.6497,3.274,-1.161,-1.4814,-2.953,Fc-level-matched(computed)
anthraquinone_parent,"9,10-anthraquinone",validation,red1->red2,-1,-2,-2.3831,3.6497,3.5777,2.383,-2.052,2.8981,-7.333,Fc-level-matched(computed)
methylpyridinium,N-methylpyridinium,validation,ox->red,1,0,-2.7644,2.5786,2.465,2.764,-1.67,-4.908,0.473,Fc-level-matched(computed)
ethylviologen,"N-benzyl-N'-ethyl-4,4'-bipyridinium (ethyl viologen)",pyridine-multi-e,ox2->ox1,2,1,-3.6619,8.5938,8.5822,3.662,-0.773,-8.4942,4.059,Fc-level-matched(computed)
ethylviologen,"N-benzyl-N'-ethyl-4,4'-bipyridinium (ethyl viologen)",pyridine-multi-e,ox1->neu,1,0,-3.1405,8.5822,8.5158,3.141,-1.294,-4.6319,0.197,Fc-level-matched(computed)
pmdi,N-benzyl-N'-methyl pyromellitic diimide,imide (n-type),neu->red1,0,-1,-3.3289,6.4472,6.3961,3.329,-1.106,-1.8266,-2.608,Fc-level-matched(computed)
pmdi,N-benzyl-N'-methyl pyromellitic diimide,imide (n-type),red1->red2,-1,-2,-2.57,6.3961,6.2559,2.57,-1.865,2.0229,-6.458,Fc-level-matched(computed)
ndi_ammonium,N-benzyl N'-(3-trimethylammoniopropyl) naphthalene diimide,imide (n-type),ox->red1,1,0,-3.5875,12.0259,11.9762,3.587,-0.847,-4.4757,0.041,Fc-level-matched(computed)
ndi_ammonium,N-benzyl N'-(3-trimethylammoniopropyl) naphthalene diimide,imide (n-type),red1->red2,0,-1,-3.2832,11.9762,11.9144,3.283,-1.152,-1.6457,-2.789,Fc-level-matched(computed)
mophquinone,"2-(4-benzyloxyphenyl)-1,4-benzoquinone",quinone (n-type),neu->red1,0,-1,-3.9125,6.7565,6.7019,3.913,-0.522,-1.9766,-2.458,Fc-level-matched(computed)
mophquinone,"2-(4-benzyloxyphenyl)-1,4-benzoquinone",quinone (n-type),red1->red2,-1,-2,-2.8619,6.7019,6.45,2.862,-1.573,2.5123,-6.947,Fc-level-matched(computed)
dmophquinone,"2-(2-methoxy-5-benzyloxyphenyl)-5-methoxy-1,4-benzoquinone",quinone (n-type),neu->red1,0,-1,-3.9427,8.3206,8.2596,3.943,-0.492,-1.9618,-2.473,Fc-level-matched(computed)
dmophquinone,"2-(2-methoxy-5-benzyloxyphenyl)-5-methoxy-1,4-benzoquinone",quinone (n-type),red1->red2,-1,-2,-2.8959,8.2596,7.9914,2.896,-1.539,2.3674,-6.802,Fc-level-matched(computed)
ethylviologen_sa,"ethyl viologen (N,N'-diethyl-4,4'-bipyridinium)",validation,ox2->ox1,2,1,-3.6578,6.6833,6.6515,3.658,-0.777,-8.666,4.231,Fc-level-matched(computed)
ethylviologen_sa,"ethyl viologen (N,N'-diethyl-4,4'-bipyridinium)",validation,ox1->neu,1,0,-3.0964,6.6515,6.5811,3.096,-1.338,-4.6714,0.237,Fc-level-matched(computed)
pmdi_sa,"N,N'-dimethyl pyromellitic diimide",imide (n-type),neu->red1,0,-1,-3.3131,3.7855,3.731,3.313,-1.122,-1.8078,-2.627,Fc-level-matched(computed)
pmdi_sa,"N,N'-dimethyl pyromellitic diimide",imide (n-type),red1->red2,-1,-2,-2.4368,3.731,3.6611,2.437,-1.998,2.2627,-6.697,Fc-level-matched(computed)
ndi_ammonium_sa,N-methyl-N'-(3-trimethylammoniopropyl) naphthalene diimide,imide (n-type),ox->red1,1,0,-3.5411,9.3329,9.29,3.541,-0.894,-4.7642,0.329,Fc-level-matched(computed)
ndi_ammonium_sa,N-methyl-N'-(3-trimethylammoniopropyl) naphthalene diimide,imide (n-type),red1->red2,0,-1,-3.246,9.29,9.2362,3.246,-1.189,-1.3007,-3.134,Fc-level-matched(computed)
mophquinone_sa,"2-(4-methoxyphenyl)-1,4-benzoquinone (xlsx / D3TaLES)",quinone (n-type),neu->red1,0,-1,-3.8717,4.096,4.0669,3.872,-0.563,-1.9854,-2.449,Fc-level-matched(computed)
mophquinone_sa,"2-(4-methoxyphenyl)-1,4-benzoquinone (xlsx / D3TaLES)",quinone (n-type),red1->red2,-1,-2,-2.6884,4.0669,3.9885,2.688,-1.746,2.7681,-7.203,Fc-level-matched(computed)
dmophquinone_sa,"2-(2,5-dimethoxyphenyl)-5-methoxy-1,4-benzoquinone (xlsx / D3TaLES)",quinone (n-type),neu->red1,0,-1,-3.8501,5.6438,5.602,3.85,-0.585,-1.9397,-2.495,Fc-level-matched(computed)
dmophquinone_sa,"2-(2,5-dimethoxyphenyl)-5-methoxy-1,4-benzoquinone (xlsx / D3TaLES)",quinone (n-type),red1->red2,-1,-2,-2.7022,5.602,5.525,2.702,-1.733,2.5654,-7.0,Fc-level-matched(computed)
