id,couple,q_ox,q_red,lambda_i_eV,lambda_i_meV,lambda_i_kJmol,relax_ox_meV,relax_red_meV,flag,d3tales_lambda_eV,d3tales_type
anthraquinone,neu->red1,0,-1,0.4325,432.5,41.73,278.4,154.0,,,
anthraquinone,red1->red2,-1,-2,0.3656,365.6,35.28,162.8,202.9,,,
anthraquinone_parent,neu->red1,0,-1,0.3798,379.8,36.64,277.5,102.3,,0.3035,electron
anthraquinone_parent,red1->red2,-1,-2,0.3243,324.3,31.29,192.6,131.7,,,
cyanopyridinium,ox->red,1,0,0.3595,359.5,34.68,245.2,114.3,,,
dmophquinone,neu->red1,0,-1,0.5746,574.6,55.44,318.5,256.1,,,
dmophquinone,red1->red2,-1,-2,0.5013,501.3,48.37,185.1,316.3,,,
dmophquinone_sa,neu->red1,0,-1,0.6712,671.2,64.76,342.2,328.9,,0.4587,electron
dmophquinone_sa,red1->red2,-1,-2,0.5081,508.1,49.02,183.9,324.2,,,
ethylviologen,ox2->ox1,2,1,0.546,546.0,52.68,316.6,229.4,,,
ethylviologen,ox1->neu,1,0,0.4424,442.4,42.68,179.0,263.4,,,
ethylviologen.bak_pretscan,ox2->ox1,2,1,0.5594,559.4,53.97,319.7,239.7,,,
ethylviologen.bak_pretscan,ox1->neu,1,0,0.3884,388.4,37.48,183.7,204.7,,,
ethylviologen_sa,ox2->ox1,2,1,0.5542,554.2,53.48,313.6,240.6,,,
ethylviologen_sa,ox1->neu,1,0,0.3757,375.7,36.25,160.9,214.8,,,
ferrocene,ox->neu,1,0,0.0851,85.1,8.21,58.3,26.7,,,
methyl_viologen,ox2->ox1,2,1,0.5397,539.7,52.08,304.9,234.8,,,
methyl_viologen,ox1->neu,1,0,0.3727,372.7,35.96,160.7,212.0,,,
methyl_viologen.bak_pretscan,ox2->ox1,2,1,0.5354,535.4,51.66,303.6,231.8,,,
methyl_viologen.bak_pretscan,ox1->neu,1,0,0.3776,377.6,36.44,159.9,217.8,,,
methylpyridinium,ox->red,1,0,0.3792,379.2,36.59,250.1,129.1,,,
mophquinone,neu->red1,0,-1,0.5261,526.1,50.76,342.6,183.5,,,
mophquinone,red1->red2,-1,-2,0.4426,442.6,42.71,210.4,232.2,,,
mophquinone_sa,neu->red1,0,-1,0.5247,524.7,50.63,346.6,178.2,,0.8716,electron
mophquinone_sa,red1->red2,-1,-2,0.4437,443.7,42.81,216.7,227.0,,,
ndi_ammonium,ox->red1,1,0,0.3562,356.2,34.37,243.5,112.7,,,
ndi_ammonium,red1->red2,0,-1,0.5488,548.8,52.95,21.1,527.7,,,
ndi_ammonium_sa,ox->red1,1,0,0.6072,607.2,58.58,258.3,348.9,,,
ndi_ammonium_sa,red1->red2,0,-1,0.3866,386.6,37.3,84.7,301.8,,,
phenothiazine,ox->neu,1,0,0.4288,428.8,41.37,232.1,196.7,,,
phenothiazine_parent,ox->neu,1,0,0.5175,517.5,49.93,332.6,184.8,,,
pmdi,neu->red1,0,-1,0.4678,467.8,45.14,311.9,155.9,,,
pmdi,red1->red2,-1,-2,0.4607,460.7,44.45,247.7,212.9,,,
pmdi_sa,neu->red1,0,-1,0.4655,465.5,44.91,319.0,146.5,,,
pmdi_sa,red1->red2,-1,-2,0.4192,419.2,40.44,209.2,209.9,,,
pyridinium,ox->red,1,0,0.415,415.0,40.04,288.9,126.1,,,
tempo,ox->rad,1,0,0.9598,959.8,92.6,549.5,410.3,,,
tempo,rad->red,0,-1,1.3724,1372.4,132.42,663.9,708.5,,,
tempo_parent,ox->rad,1,0,0.9708,970.8,93.67,534.3,436.5,,0.9432,hole
tempo_parent,rad->red,0,-1,1.3046,1304.6,125.87,599.3,705.3,,1.483,electron
viologen,ox2->ox1,2,1,0.5498,549.8,53.04,315.4,234.4,,,
viologen,ox1->neu,1,0,0.393,393.0,37.92,185.1,207.9,,,
