id,couple,q_ox,q_red,EA_solv_eV,d_bonds,rmsd_heavy_A,reversible,verdict
anthraquinone,neu->red1,0,-1,3.281,0,1.388,True,reversible
anthraquinone,red1->red2,-1,-2,2.313,0,0.375,True,reversible
anthraquinone_parent,neu->red1,0,-1,3.229,0,0.022,True,reversible
anthraquinone_parent,red1->red2,-1,-2,2.311,0,0.025,True,reversible
cyanopyridinium,ox->red,1,0,3.497,0,0.156,True,reversible
ferrocene,ox->neu,1,0,4.435,0,0.081,True,reversible
methyl_viologen,ox2->ox1,2,1,3.64,0,0.252,True,reversible
methyl_viologen,ox1->neu,1,0,3.041,0,1.28,True,reversible
methylpyridinium,ox->red,1,0,2.651,0,0.045,True,reversible
mv_solv,ox2->ox1,2,1,3.67,0,1.083,True,reversible
mv_solv,ox1->neu,1,0,3.041,0,0.704,True,reversible
phenothiazine,ox->neu,1,0,4.982,0,0.186,True,reversible
phenothiazine_parent,ox->neu,1,0,4.87,0,0.328,True,reversible
pyridinium,ox->red,1,0,2.687,0,0.339,True,reversible
tempo,ox->rad,1,0,4.87,0,0.148,True,reversible
tempo,rad->red,0,-1,2.499,0,1.617,True,reversible
tempo_parent,ox->rad,1,0,4.801,0,1.219,True,reversible
tempo_parent,rad->red,0,-1,2.447,0,1.174,True,reversible
viologen,ox2->ox1,2,1,3.657,0,0.278,True,reversible
viologen,ox1->neu,1,0,3.065,0,0.372,True,reversible
