id,name,family,status,role,n_accessible,E_anolyte_V,E_catholyte_V,sigma_E_V,specific_capacity_mAh_g,MW,lambda_eV,sigma_lambda_eV,dG_disp_kJmol,sigma_disp_eV,all_reversible,SA_score,dGsolv_proxy_eV,n_couples_rejected,reason
pyridinium,N-benzylpyridinium,pyridine,candidate,anolyte,1,-1.656,,0.44,145.4,184.3,0.415,0.1,,,True,2.01,-0.573,0,
cyanopyridinium,N-benzyl-4-cyanopyridinium,pyridine,candidate,anolyte,1,-0.88,,0.44,128.1,209.3,0.359,0.1,,,True,2.31,-0.8,0,
viologen,"N-benzyl-N'-methyl-4,4'-bipyridinium (viologen)",pyridine-multi-e,candidate,anolyte,2,-1.035,,0.8,193.9,276.4,0.471,0.1,52.0,0.17,True,2.55,-0.913,0,
phenothiazine,N-benzylphenothiazine,amine (p-type),candidate,catholyte,1,,0.542,0.44,88.3,303.4,0.429,0.1,,,True,1.84,-0.678,0,
tempo,4-(benzyloxy)-TEMPO,nitroxide,candidate,ambipolar,2,-1.671,0.447,0.53,193.9,276.4,1.166,0.1,204.3,0.17,True,2.48,-0.589,0,
anthraquinone,2-(benzyloxymethyl)anthraquinone,quinone (n-type),candidate,anolyte,2,-1.478,,0.8,156.6,342.4,0.399,0.1,73.4,0.17,True,1.94,-0.825,0,
methyl_viologen,"methyl viologen (N,N'-dimethyl-4,4'-bipyridinium)",validation,candidate,anolyte,2,-1.038,,0.8,287.7,186.3,0.457,0.1,54.2,0.17,True,2.82,-0.668,0,
tempo_parent,"TEMPO (2,2,6,6-tetramethylpiperidine-1-oxyl)",validation,candidate,ambipolar,2,-1.911,0.376,0.53,343.2,156.2,1.138,0.1,220.7,0.17,True,2.87,-0.321,0,
phenothiazine_parent,10H-phenothiazine,validation,candidate,catholyte,1,,0.456,0.44,134.5,199.3,0.517,0.1,,,True,1.94,-0.576,0,
anthraquinone_parent,"9,10-anthraquinone",validation,candidate,anolyte,2,-1.607,,0.8,257.5,208.2,0.352,0.1,86.0,0.17,True,1.33,-0.535,0,
methylpyridinium,N-methylpyridinium,validation,candidate,anolyte,1,-1.67,,0.44,284.8,94.1,0.379,0.1,,,True,2.53,-0.33,0,
