id,intermediate,q,reaction,dG_disp_eV,dG_disp_kJmol,logK_disp,stable_vs_disprop
anthraquinone,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),0.761,73.4,-12.86,True
anthraquinone_parent,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),0.8908,86.0,-15.06,True
dmophquinone,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),1.0468,101.0,-17.7,True
dmophquinone_sa,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),1.1479,110.8,-19.4,True
ethylviologen,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.5214,50.3,-8.81,True
ethylviologen.bak_pretscan,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.5437,52.5,-9.19,True
ethylviologen_sa,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.5614,54.2,-9.49,True
methyl_viologen,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.5826,56.2,-9.85,True
methyl_viologen.bak_pretscan,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.5613,54.2,-9.49,True
mophquinone,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),1.0506,101.4,-17.76,True
mophquinone_sa,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),1.1832,114.2,-20.0,True
mv_solv,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.6176,59.6,-10.44,True
ndi_ammonium,red1,0,2 red1(q=+0) -> ox(q=+1) + red2(q=-1),0.3043,29.4,-5.14,True
ndi_ammonium_sa,red1,0,2 red1(q=+0) -> ox(q=+1) + red2(q=-1),0.2951,28.5,-4.99,True
pmdi,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),0.7589,73.2,-12.83,True
pmdi_sa,red1,-1,2 red1(q=-1) -> neu(q=+0) + red2(q=-2),0.8762,84.5,-14.81,True
tempo,rad,0,2 rad(q=+0) -> ox(q=+1) + red(q=-1),2.1179,204.3,-35.8,True
tempo_parent,rad,0,2 rad(q=+0) -> ox(q=+1) + red(q=-1),2.2873,220.7,-38.66,True
viologen,ox1,1,2 ox1(q=+1) -> ox2(q=+2) + neu(q=+0),0.5393,52.0,-9.12,True
