id,event,rmsd_heavy,max_disp_heavy,n_heavy,geom_source
pyridinium,ox->red,0.3387,0.5723,14,dft_smd
cyanopyridinium,ox->red,0.1559,0.2937,16,dft_smd
viologen,ox2->ox1,0.2784,0.6028,21,dft_smd
viologen,ox1->neu,0.372,0.7018,21,dft_smd
phenothiazine,ox->neu,0.1864,0.5671,22,dft_smd
tempo,ox->rad,0.1482,0.4166,20,dft_smd
tempo,rad->red,1.6168,3.4305,20,dft_smd
anthraquinone,neu->red1,1.3878,2.5023,26,dft_smd
anthraquinone,red1->red2,0.3752,0.834,26,dft_smd
ferrocene,ox->neu,0.0807,0.1389,11,dft_smd
methyl_viologen,ox2->ox1,0.2519,0.3378,14,dft_smd
methyl_viologen,ox1->neu,1.2802,1.8588,14,dft_smd
tempo_parent,ox->rad,1.2193,3.2371,11,dft_smd
tempo_parent,rad->red,1.1737,3.153,11,dft_smd
phenothiazine_parent,ox->neu,0.3279,0.6081,14,dft_smd
anthraquinone_parent,neu->red1,0.0216,0.0413,16,dft_smd
anthraquinone_parent,red1->red2,0.0255,0.0525,16,dft_smd
methylpyridinium,ox->red,0.0452,0.0817,7,dft_smd
